companion: コンパニオン
possibly: おそらく
repeat: 繰り返す
block: ブロック
present: プレゼント
bill: ビル
recognition: 認識
guard: ガード
dare: あえて
extreme: 極端な
language: 言語
frightening: 恐ろしい
protective: 保護的な
tongue: 舌
freeze: フリーズする
foot: 足
potato: じゃがいも
bridge: ブリッジ
literature: 文献
reward: 褒賞
strike: ストライク
even: 偶数
gain: 利得 利益
park: パーク
itself: 自体
o'clock: 時
sick: 病気
already: 既に
various: 様々な
charm: チャーム お守り
hurt: 傷つける
meet: 会う
remain: 残る
direct: 直接
prize: 賞
wash: 洗う
sky: 空
preparation: 準備
welcome: ようこそ
steady: 安定しました
garden: 庭園
cap: キャップ
upper: アッパー
government: 政府
fresh: 新鮮な
mass: 質量
lower: 低い
dance: ダンス
officer: 役員
flag: フラグ
pour: 注ぐ
year: 年
bowl: ボウル
tear: 涙
suck: 吸う
entertain: 楽しむ
serious: 深刻な
delay: ディレイ
plain: プレーン
find: 見つける
pretty: かなり
will: 意志
sad: 悲しい
sugar: シュガー
king: キング
protect: 保護する
quarter: 四半期
examination: 検査
union: 連合
nasty: 不快な
poor: 貧しい
besides: その他
equality: 平等
listen: 聴く
nose: 鼻
honesty: 正直
imagine: 想像する
manager: マネージャー
dirty: 汚れた
heart: ハート
kilogram: キログラム
log: ログ
account: アカウント
then: 次に
arch: アーチ
general: 一般
tropical: トロピカル
set: セット
expensive: 高価な
tend: 傾向がある
island: 島
persuade: 説得する
fence: フェンス
jump: ジャンプ
flame: 火炎
berry: ベリー
barrel: バレル
country: 国
spoon: スプーン
attractive: 魅力的
jewel: 宝石
cotton: コットン
backward: 後方に
help: 助けて
side: 側
mirror: 鏡
decimal: 小数点以下の
sheet: シート
dependent: 依存
color: 色
ship: 船
invent: 発明する
president: 大統領
pin: ピン
action: アクション
strange: 奇妙な
poetry: 詩
formal: フォーマル
line: ライン
success: 成功
pupil: 瞳
minister: 大臣
wheat: 小麦
pen: ペン
beak: 嘴 くちばし
carry: キャリー 持ち運ぶ
blow: ブロー 打撃
drink: ドリンク
pull: 引く
bath: 風呂
card: カード
employ: 採用する
criminal: 犯罪者
stage: ステージ
loaf: 塊
match: 一致
own: 自分の
type: タイプ
newspaper: 新聞
enjoyment: 楽しみ
clerk: 店員
pilot: パイロット
grave: 墓
bitter: 苦い
doubt: 疑問に思う
liquid: 液体
beam: ビーム
fortune: 運
exchange: 交換
shout: 叫ぶ
mouse: マウス
though: しかし
rabbit: ウサギ
since: 以来
imaginary: 想像上の
adverb: 副詞
tell: 伝える
die: 死ぬ
situation: 状況
object: オブジェクト
art: アート
cake: ケーキ
trip: 旅行
signature: 署名
convenient: 便利
poisonous: 有毒
fit: フィット
live: ライブ
adult: 大人
allow: 許す
daily: 毎日
twist: ねじれ
oil: 油
fisherman: 漁師
develop: 開発する
afternoon: 午後
fun: 楽しい
word: 単語
shelf: 棚
iron: 鉄
destroy: 破壊する
freedom: 自由
nice: いい
advertise: 広告する
pray: 祈る
into: に
apple: 林檎
kilometer: キロメートル
those: それら
amount: 量
agree: 同意する
calculator: 電卓
consist: 構成する
lead: 鉛 先導する
uncle: 叔父
